id,code,name,description
l10n_mx_immex_code_pedimento_V3,V3,EXTRACCION DE DEPOSITO FISCAL DE BIENES PARA SU RETORNO O EXPORTACION VIRTUAL (IA). ,SUPUESTOS DE APLICACION 
l10n_mx_immex_code_pedimento_V4,V4,RETORNO VIRTUAL DERIVADO DE LA CONSTANCIA DE TRANSFERENCIA DE MERCANCIAS (IA). ,SUPUESTOS DE APLICACION 
l10n_mx_immex_code_pedimento_F8,F8,INTRODUCCION Y EXTRACCION DE DEPOSITO FISCAL DE MERCANCIAS NACIONALES O NACIONALIZADAS EN TIENDAS LIBRES DE IMPUESTOS (DUTY FREE). ,"PARA EXPOSICION Y VENTA DE MERCANCIAS EN TIENDAS LIBRES DE IMPUESTOS
(DUTY FREE) "
l10n_mx_immex_code_pedimento_F9,F9,INTRODUCCION Y EXTRACCION DE DEPOSITO FISCAL DE MERCANCIAS EXTRANJERAS PARA EXPOSICION Y VENTA DE MERCANCIAS EN TIENDAS LIBRES DE IMPUESTOS (DUTY FREE). ,"PARA EXPOSICION Y VENTA DE MERCANCIAS EN TIENDAS LIBRES DE IMPUESTOS
(DUTY FREE) "
l10n_mx_immex_code_pedimento_G6,G6,INFORME DE EXTRACCION DE DEPOSITO FISCAL DE MERCANCIAS NACIONALES O NACIONALIZADAS VENDIDAS EN TIENDAS LIBRES DE IMPUESTOS (DUTY FREE). ,"PARA EXPOSICION Y VENTA DE MERCANCIAS EN TIENDAS LIBRES DE IMPUESTOS
(DUTY FREE) "
l10n_mx_immex_code_pedimento_G7,G7,INFORME DE EXTRACCION DE DEPOSITO FISCAL DE MERCANCIAS EXTRANJERAS VENDIDAS EN TIENDAS LIBRES DE IMPUESTOS (DUTY FREE). ,"PARA EXPOSICION Y VENTA DE MERCANCIAS EN TIENDAS LIBRES DE IMPUESTOS
(DUTY FREE) "
l10n_mx_immex_code_pedimento_V8,V8,"TRANSFERENCIA DE MERCANCIAS EN DEPOSITO FISCAL PARA LA EXPOSICION Y VENTA DE MERCANCIAS EXTRANJERAS, NACIONALES Y NACIONALIZADAS DE TIENDAS LIBRES DE IMPUESTOS (DUTY FREE). ","PARA EXPOSICION Y VENTA DE MERCANCIAS EN TIENDAS LIBRES DE IMPUESTOS
(DUTY FREE) "
l10n_mx_immex_code_pedimento_M1,M1,INTRODUCCION Y EXPORTACION DE INSUMOS. ,TRANSFORMACION EN RECINTO FISCALIZADO
l10n_mx_immex_code_pedimento_M2,M2,INTRODUCCION Y EXPORTACION DE MAQUINARIA Y EQUIPO. ,TRANSFORMACION EN RECINTO FISCALIZADO
l10n_mx_immex_code_pedimento_J3,J3,RETORNO Y EXPORTACION DE INSUMOS ELABORADOS O TRANSFORMADOS EN RECINTO FISCALIZADO. ,TRANSFORMACION EN RECINTO FISCALIZADO
l10n_mx_immex_code_pedimento_G8,G8,REINCORPORAR AL MERCADO NACIONAL (RFE). ,RECINTOS FISCALIZADOS ESTRATEGICOS (RFE)
l10n_mx_immex_code_pedimento_M3,M3,INTRODUCCION DE MERCANCIAS (RFE). ,RECINTOS FISCALIZADOS ESTRATEGICOS (RFE)
l10n_mx_immex_code_pedimento_M4,M4,INTRODUCCION DE ACTIVO FIJO (RFE). ,RECINTOS FISCALIZADOS ESTRATEGICOS (RFE)
l10n_mx_immex_code_pedimento_M5,M5,NTRODUCCION DE MERCANCIA NACIONAL O NACIONALIZADA (RFE). ,RECINTOS FISCALIZADOS ESTRATEGICOS (RFE)
l10n_mx_immex_code_pedimento_J4,J4,RETORNO DE MERCANCIAS EXTRANJERAS (RFE).,RECINTOS FISCALIZADOS ESTRATEGICOS (RFE)
l10n_mx_immex_code_pedimento_T3,T3,TRANSITO INTERNO. ,TRANSITOS
l10n_mx_immex_code_pedimento_T6,T6,TRANSITO INTERNACIONAL POR TERRITORIO EXTRANJERO. ,TRANSITOS
l10n_mx_immex_code_pedimento_T7,T7,TRANSITO INTERNACIONAL POR TERRITORIO NACIONAL. ,TRANSITOS
l10n_mx_immex_code_pedimento_T9,T9,TRANSITO INTERNACIONAL DE TRANSMIGRANTES.,TRANSITOS
l10n_mx_immex_code_pedimento_R1,R1,RECTIFICACION DE PEDIMENTOS. ,OTROS
l10n_mx_immex_code_pedimento_CT,CT,PEDIMENTO COMPLEMENTARIO. ,
