id,code,name,dangerous
l10n_mx_wbl_products_services_10161522,10161522,Arbusto croton bolaina,0
l10n_mx_wbl_products_services_10161523,10161523,Abutillón,0
l10n_mx_wbl_products_services_10161524,10161524,Ficus,0
l10n_mx_wbl_products_services_10161525,10161525,Lúcumo,0
l10n_mx_wbl_products_services_10161526,10161526,Aguacatal,0
l10n_mx_wbl_products_services_10161527,10161527,Guanábano,0
l10n_mx_wbl_products_services_10161528,10161528,Carambolo,0
l10n_mx_wbl_products_services_10161529,10161529,Ciruelo,0
l10n_mx_wbl_products_services_10161530,10161530,Árbol de quince,0
l10n_mx_wbl_products_services_10161600,10161600,Plantas florales,0
l10n_mx_wbl_products_services_10161602,10161602,Poinsettias,0
l10n_mx_wbl_products_services_10161604,10161604,Azaleas,0
l10n_mx_wbl_products_services_10161605,10161605,Cactos,0
l10n_mx_wbl_products_services_10161606,10161606,Ageratum púrpura,0
l10n_mx_wbl_products_services_10161800,10161800,Plantas sin flor,0
l10n_mx_wbl_products_services_10161801,10161801,Helechos,0
l10n_mx_wbl_products_services_10161802,10161802,Hiedras,0
l10n_mx_wbl_products_services_10161803,10161803,Filodendros,0
l10n_mx_wbl_products_services_10161804,10161804,Líquenes,0
l10n_mx_wbl_products_services_10161805,10161805,Vides,0
l10n_mx_wbl_products_services_10161900,10161900,Productos florales secos,0
l10n_mx_wbl_products_services_10161901,10161901,Vainas secas,0
l10n_mx_wbl_products_services_10161902,10161902,Follaje seco,0
l10n_mx_wbl_products_services_10161903,10161903,Helechos secos,0
l10n_mx_wbl_products_services_10161905,10161905,Ramas y tallos secos,0
l10n_mx_wbl_products_services_10161906,10161906,Penachos de gramíneas secos,0
l10n_mx_wbl_products_services_10161907,10161907,Flores secas prensadas,0
l10n_mx_wbl_products_services_10161908,10161908,Pétalos secos,0
l10n_mx_wbl_products_services_10171500,10171500,Abonos orgánicos y nutrientes para plantas,0
l10n_mx_wbl_products_services_10171501,10171501,Estiércol o guano,0
l10n_mx_wbl_products_services_10171502,10171502,Hormonas para plantas,0
l10n_mx_wbl_products_services_10171503,10171503,Harina de pescado,0
l10n_mx_wbl_products_services_10171504,10171504,Abono,0
l10n_mx_wbl_products_services_10171505,10171505,Nutriente foliar,0
l10n_mx_wbl_products_services_10171506,10171506,Humus,0
l10n_mx_wbl_products_services_10171600,10171600,Abonos químicos y nutrientes para plantas,1
l10n_mx_wbl_products_services_10171601,10171601,Fertilizante nitrogenado,1
l10n_mx_wbl_products_services_10171602,10171602,Fertilizante de potasio,1
l10n_mx_wbl_products_services_10171603,10171603,Fertilizante de fósforo,1
l10n_mx_wbl_products_services_10171604,10171604,Fertilizante de sulfuro,1
l10n_mx_wbl_products_services_10171605,10171605,Mezclas de nitrógeno – fósforo – potasio – npk,1
l10n_mx_wbl_products_services_10171606,10171606,Fertilizarte de sílice puro,1
l10n_mx_wbl_products_services_10171607,10171607,Fertilizante con magnesio,1
l10n_mx_wbl_products_services_10171608,10171608,Fertilizante micro elemento,1
l10n_mx_wbl_products_services_10171609,10171609,Fertilizante fosfato de sílice,1
l10n_mx_wbl_products_services_10171610,10171610,Fertilizante potasio de sílice,1
l10n_mx_wbl_products_services_10171611,10171611,Fertilizante de calcio,1
l10n_mx_wbl_products_services_10171700,10171700,Herbicidas,1
l10n_mx_wbl_products_services_10171701,10171701,Matamalezas,1
l10n_mx_wbl_products_services_10171702,10171702,Fungicidas,1
l10n_mx_wbl_products_services_10171800,10171800,Acondicionadores de suelos,0
l10n_mx_wbl_products_services_10171801,10171801,Acondicionador orgánico de suelos,0
l10n_mx_wbl_products_services_10171802,10171802,Acondicionador inorgánico de suelos,0
l10n_mx_wbl_products_services_10191500,10191500,Pesticidas o repelentes de plagas,1
l10n_mx_wbl_products_services_10191506,10191506,Mata – roedores,1
l10n_mx_wbl_products_services_10191507,10191507,Repelentes de aves,1
l10n_mx_wbl_products_services_10191508,10191508,Protectores contra termitas,1
l10n_mx_wbl_products_services_10191509,10191509,Insecticidas,1
l10n_mx_wbl_products_services_10191510,10191510,Abamectina,1
l10n_mx_wbl_products_services_10191511,10191511,Fipronil,1
l10n_mx_wbl_products_services_10191700,10191700,Dispositivos para control de plagas,0
l10n_mx_wbl_products_services_10191701,10191701,Trampas para control animal,0
l10n_mx_wbl_products_services_10191703,10191703,Trampas para el control de insectos voladores,0
l10n_mx_wbl_products_services_10191704,10191704,Matamoscas,0
l10n_mx_wbl_products_services_10191705,10191705,Lazos,0
l10n_mx_wbl_products_services_10191706,10191706,Cepos,0
l10n_mx_wbl_products_services_10191707,10191707,Repelente ultrasónico de pestes,0
l10n_mx_wbl_products_services_10202100,10202100,Rosales vivos anaranjados,0
l10n_mx_wbl_products_services_10202101,10202101,Rosal vivo alhambra,0
l10n_mx_wbl_products_services_10202102,10202102,Rosal vivo aloha,0
l10n_mx_wbl_products_services_10202103,10202103,Rosal vivo amber,0
l10n_mx_wbl_products_services_10202104,10202104,Rosal vivo apache,0
l10n_mx_wbl_products_services_10202105,10202105,Rosal vivo arabia,0
l10n_mx_wbl_products_services_10202106,10202106,Rosal vivo bengala,0
l10n_mx_wbl_products_services_10202107,10202107,Rosal vivo bibi,0
l10n_mx_wbl_products_services_10202108,10202108,Rosal vivo caramba,0
l10n_mx_wbl_products_services_10202109,10202109,Rosal vivo caramella,0
l10n_mx_wbl_products_services_10202110,10202110,Rosal vivo carla,0
