id,code,name,country_id,transport_id/id
l10n_mx_wbl_stationsEF004,EF004,Lechería,MX,l10n_mx_wbl_transport_04
l10n_mx_wbl_stationsEF005,EF005,Cuautitlán,MX,l10n_mx_wbl_transport_04
l10n_mx_wbl_stationsEF006,EF006,Teoloyucan,MX,l10n_mx_wbl_transport_04
l10n_mx_wbl_stationsEF007,EF007,Huehuetoca,MX,l10n_mx_wbl_transport_04
l10n_mx_wbl_stationsEF008,EF008,El Salto,MX,l10n_mx_wbl_transport_04
l10n_mx_wbl_stationsEF009,EF009,Dorantes,MX,l10n_mx_wbl_transport_04
l10n_mx_wbl_stationsEF010,EF010,Cruz Azul,MX,l10n_mx_wbl_transport_04
l10n_mx_wbl_stationsEF011,EF011,Tolteca,MX,l10n_mx_wbl_transport_04
l10n_mx_wbl_stationsEF012,EF012,Tula,MX,l10n_mx_wbl_transport_04
l10n_mx_wbl_stationsEF013,EF013,San Juan del Rio,MX,l10n_mx_wbl_transport_04
l10n_mx_wbl_stationsEF014,EF014,Coachiti,MX,l10n_mx_wbl_transport_04
l10n_mx_wbl_stationsEF015,EF015,El Tunal,MX,l10n_mx_wbl_transport_04
l10n_mx_wbl_stationsEF016,EF016,Apaseo,MX,l10n_mx_wbl_transport_04
l10n_mx_wbl_stationsEF017,EF017,Celaya,MX,l10n_mx_wbl_transport_04
l10n_mx_wbl_stationsEF018,EF018,Crespo,MX,l10n_mx_wbl_transport_04
l10n_mx_wbl_stationsEF019,EF019,Cortázar,MX,l10n_mx_wbl_transport_04
l10n_mx_wbl_stationsEF020,EF020,Villagrán,MX,l10n_mx_wbl_transport_04
l10n_mx_wbl_stationsEF021,EF021,Molino Sarabia,MX,l10n_mx_wbl_transport_04
l10n_mx_wbl_stationsEF022,EF022,Univex,MX,l10n_mx_wbl_transport_04
l10n_mx_wbl_stationsEF023,EF023,Salamanca,MX,l10n_mx_wbl_transport_04
l10n_mx_wbl_stationsEF024,EF024,Chico,MX,l10n_mx_wbl_transport_04
l10n_mx_wbl_stationsEF025,EF025,Irapuato,MX,l10n_mx_wbl_transport_04
l10n_mx_wbl_stationsEF026,EF026,Arandas,MX,l10n_mx_wbl_transport_04
l10n_mx_wbl_stationsEF027,EF027,Copalillo,MX,l10n_mx_wbl_transport_04
l10n_mx_wbl_stationsEF028,EF028,Vieyra,MX,l10n_mx_wbl_transport_04
l10n_mx_wbl_stationsEF029,EF029,Villalobos,MX,l10n_mx_wbl_transport_04
l10n_mx_wbl_stationsEF030,EF030,Pico de Oro,MX,l10n_mx_wbl_transport_04
l10n_mx_wbl_stationsEF031,EF031,El Cerrito,MX,l10n_mx_wbl_transport_04
l10n_mx_wbl_stationsEF032,EF032,Silao,MX,l10n_mx_wbl_transport_04
l10n_mx_wbl_stationsEF033,EF033,Nápoles,MX,l10n_mx_wbl_transport_04
l10n_mx_wbl_stationsEF034,EF034,Trinidad,MX,l10n_mx_wbl_transport_04
l10n_mx_wbl_stationsEF035,EF035,León,MX,l10n_mx_wbl_transport_04
l10n_mx_wbl_stationsEF036,EF036,La Mora,MX,l10n_mx_wbl_transport_04
l10n_mx_wbl_stationsEF037,EF037,El Potrerito,MX,l10n_mx_wbl_transport_04
l10n_mx_wbl_stationsEF038,EF038,San Francisco del Rincón,MX,l10n_mx_wbl_transport_04
l10n_mx_wbl_stationsEF039,EF039,Guanajal,MX,l10n_mx_wbl_transport_04
l10n_mx_wbl_stationsEF040,EF040,San Bartolo,MX,l10n_mx_wbl_transport_04
l10n_mx_wbl_stationsEF041,EF041,Pedrito,MX,l10n_mx_wbl_transport_04
l10n_mx_wbl_stationsEF042,EF042,Carolina,MX,l10n_mx_wbl_transport_04
l10n_mx_wbl_stationsEF043,EF043,Corral Blanco,MX,l10n_mx_wbl_transport_04
l10n_mx_wbl_stationsEF044,EF044,Loma,MX,l10n_mx_wbl_transport_04
l10n_mx_wbl_stationsEF045,EF045,Lagos de Moreno,MX,l10n_mx_wbl_transport_04
l10n_mx_wbl_stationsEF046,EF046,Mira,MX,l10n_mx_wbl_transport_04
l10n_mx_wbl_stationsEF047,EF047,Los Salas,MX,l10n_mx_wbl_transport_04
l10n_mx_wbl_stationsEF048,EF048,Placa KM. A-503,MX,l10n_mx_wbl_transport_04
l10n_mx_wbl_stationsEF049,EF049,Castro,MX,l10n_mx_wbl_transport_04
l10n_mx_wbl_stationsEF050,EF050,Doble,MX,l10n_mx_wbl_transport_04
l10n_mx_wbl_stationsEF051,EF051,Santa Maria de Enmedio,MX,l10n_mx_wbl_transport_04
l10n_mx_wbl_stationsEF052,EF052,San Juan de los Lagos,MX,l10n_mx_wbl_transport_04
l10n_mx_wbl_stationsEF053,EF053,Placa KM. A-529,MX,l10n_mx_wbl_transport_04
l10n_mx_wbl_stationsEF054,EF054,Encarnación,MX,l10n_mx_wbl_transport_04
l10n_mx_wbl_stationsEF055,EF055,El Tigre,MX,l10n_mx_wbl_transport_04
l10n_mx_wbl_stationsEF056,EF056,Peruelas,MX,l10n_mx_wbl_transport_04
l10n_mx_wbl_stationsEF057,EF057,Arellano,MX,l10n_mx_wbl_transport_04
l10n_mx_wbl_stationsEF058,EF058,Aguascalientes,MX,l10n_mx_wbl_transport_04
