id,code,name,description,flag
l10n_mx_wbl_unit_weight_XCV,XCV,Cubierta,,Packaging
l10n_mx_wbl_unit_weight_XCW,XCW,Jaula estilo rodillo,,Packaging
l10n_mx_wbl_unit_weight_XCX,XCX,Lata cilíndrica,,Packaging
l10n_mx_wbl_unit_weight_XCY,XCY,Cilindro,,Packaging
l10n_mx_wbl_unit_weight_XCZ,XCZ,Lona,,Packaging
l10n_mx_wbl_unit_weight_XDA,XDA,Cajón multicapa de plástico,,Packaging
l10n_mx_wbl_unit_weight_XDB,XDB,Cajón de varias capas de madera,,Packaging
l10n_mx_wbl_unit_weight_XDC,XDC,Cajón multicapa de cartón,,Packaging
l10n_mx_wbl_unit_weight_XDG,XDG,"Jaula, Según la clasificación de la compañía (Commonwealth Handling Equipment Pool (CHEP))",,Packaging
l10n_mx_wbl_unit_weight_XDH,XDH,"Caja, Según la clasificación de la compañía (CHEP), Eurobox",Caja montada sobre una base de pallet Según la clasificación de la compañía (CHEP).,Packaging
l10n_mx_wbl_unit_weight_XDI,XDI,Tambor de hierro,,Packaging
l10n_mx_wbl_unit_weight_XDJ,XDJ,"damajuana o garrafa, no protegido",,Packaging
l10n_mx_wbl_unit_weight_XDK,XDK,"Cajón a granel, cartón",,Packaging
l10n_mx_wbl_unit_weight_XDL,XDL,Cajas de plástico,,Packaging
l10n_mx_wbl_unit_weight_XDM,XDM,Cajones a granel de madera,,Packaging
l10n_mx_wbl_unit_weight_XDN,XDN,Dispensador,,Packaging
l10n_mx_wbl_unit_weight_XDP,XDP,"damajuana o garrafa, protegido",,Packaging
l10n_mx_wbl_unit_weight_XDR,XDR,Tambor,,Packaging
l10n_mx_wbl_unit_weight_XDS,XDS,Bandeja de una capa sin cubierta y de plástico,,Packaging
l10n_mx_wbl_unit_weight_XDT,XDT,Bandeja de una capa sin cubierta y de madera,,Packaging
l10n_mx_wbl_unit_weight_XDU,XDU,Bandeja de una capa sin cubierta y  poliestireno,,Packaging
l10n_mx_wbl_unit_weight_XDV,XDV,Bandeja de una capa sin cubierta y de cartón,,Packaging
l10n_mx_wbl_unit_weight_XDW,XDW,Bandeja de dos capas sin tapa y con bandeja de plástico,,Packaging
l10n_mx_wbl_unit_weight_XDX,XDX,Bandeja de dos capas sin cubierta y de madera,,Packaging
l10n_mx_wbl_unit_weight_XDY,XDY,Bandeja de dos capas sin cubierta y de cartón,,Packaging
l10n_mx_wbl_unit_weight_XEC,XEC,Bolsa de plástico,,Packaging
l10n_mx_wbl_unit_weight_XED,XED,"Estuche, con pallet de base",,Packaging
l10n_mx_wbl_unit_weight_XEE,XEE,"Estuche, con pallet base de madera",,Packaging
l10n_mx_wbl_unit_weight_XEF,XEF,"Estuche, con pallet base de cartón",,Packaging
l10n_mx_wbl_unit_weight_XEG,XEG,"Estuche, con pallet base de plástico",,Packaging
l10n_mx_wbl_unit_weight_XEH,XEH,"Estuche, con pallet base de metal",,Packaging
l10n_mx_wbl_unit_weight_XEI,XEI,Estuche isotérmico,,Packaging
l10n_mx_wbl_unit_weight_XEN,XEN,Sobre,,Packaging
l10n_mx_wbl_unit_weight_XFB,XFB,Bolsa flexible,"Bolsa de contención flexible hecha de plástico, usado típicamente para el transporte de mercancías no peligrosas a granel, que usan contenedores de transporte de tamaño estándar.",Packaging
